Categoria,Pagina,Rutas,Vista (archivo),Auth,Funcion,Resumen
Publicas / Auth,Raiz (redirect),/,app.js (rootRedirectView),Publica,Punto de entrada que decide destino,"Si hay sesion redirige al home/org por defecto; si no, a /login. No renderiza UI propia."
Publicas / Auth,Login,"/login, /signin",SignInView.js,Publica,Acceso de usuarios existentes,"Login email+password sobre card glass con video de fondo. Plataforma por invitacion (sin registro publico). Estado alterno: recuperar contrasena."
Publicas / Auth,Cambiar contrasena,/cambiar-contrasena,CambiarContrasenaView.js,Publica,Fijar nueva contrasena tras recovery,"Destino del enlace de recuperacion de Supabase (type=recovery en el hash). Permite establecer la nueva clave."
Publicas / Auth,Verificacion de correo,/verification,VerificationView.js,Publica,Aviso de correo no verificado,"Se llega desde login cuando AuthService devuelve EMAIL_NOT_VERIFIED. Indica que revise su correo y permite reenviar la verificacion. No verifica token (eso lo hace Supabase por enlace)."
Onboarding / Signup,Demo IGNIS,/demo,DemoEntryView.js,Publica,Entrada publica al preview read-only,"Crea sesion anonima (signInAnonymously), el trigger la une a la org ficticia IGNIS con rol demo, y redirige a Vera. RLS bloquea writes. No degrada cuentas reales."
Onboarding / Signup,Registro secreto (wizard),/registro/onyx-7h3k9p,SecretSignupView.js,Publica,Alta self-service por URL secreta,"Wizard de signup no enlazado (el secreto es la URL, rotable via slug). Pantallas: cuenta (Google/FB/email) -> verify -> elegir crear marca o afiliarse -> planes -> pago -> crear marca. MODO PREVIEW activo (no crea usuarios)."
Onboarding / Signup,Registro secreto (continuar),/registro/onyx-7h3k9p/continuar,SecretSignupContinueView.js,Publica,Destino del enlace de confirmacion,"Tras confirmar el email, ya autenticado, invoca signup-self-finalize que crea la organizacion con el usuario como owner y redirige a su nuevo dashboard."
Onboarding / Signup,Proceso de creacion,/creation_process,CreationProcessView.js,Auth,Espera de aprovisionamiento de workspace,"Se muestra al usuario que ya verifico correo pero aun no tiene org/rol. Mensaje empatico + logout. Si la BD ya tiene org asociada, redirige solo al dashboard."
App / Organizacion,Dashboard,"/dashboard, /org/:orgIdShort/:orgNameSlug/dashboard",DashboardView.js (+ 4 mixins),Auth,Dashboard de inteligencia de la marca,"Orquestador de 4 tabs (MyBrands, Competence, Tendencies, Strategy), cada uno en su mixin. Core maneja routing entre tabs, shell, realtime y helpers Chart.js. Cards causales que muestran la inteligencia de Vera."
App / Organizacion,Produccion,"/production, /org/:orgIdShort/:orgNameSlug/production",ProductionView.js,Auth,Galeria de contenido generado,"Dashboard de producciones (outputs individuales en masonry) con perfil, productos y campanas."
App / Organizacion,Monitoreo / Vigilancia,"/monitoring, /org/:orgIdShort/:orgNameSlug/monitoring",MonitoringView.js,Auth,Vitrina de vigilancia competitiva,"Vista humana de a quien/que sigue la marca. Unifica intelligence_entities (perfiles/marcas) + url_watchers (paginas). Tira Pulso -> banner Propuestas nuevas -> grid Lo que sigo con filtros. Cualquier miembro puede CRUD."
App / Organizacion,Tareas / Autopilot,"/tasks, /tasks/:taskId, /org/.../tasks(/:taskId)",TasksView.js,Auth,Tareas programadas (flow_schedules),"Lista las tareas programadas del usuario y permite asignar entidad, campana, audiencia y editar su configuracion. Historial de runs de autopilot."
App / Organizacion,Historial de ejecuciones,"/execution-history, /org/.../execution-history",ExecutionHistoryView.js,Auth,Sesiones de produccion manual reabribles,"Agrupa por flow_run: cada card es una sesion de produccion manual. Al abrir vuelve a Studio scopeado al run (?run=ID) para seguir produciendo dentro del mismo run. Solo runs manuales (los de autopilot van a Tasks)."
App / Organizacion,Organizacion (admin),/org/:orgIdShort/:orgNameSlug/organization,OrganizationView.js,Auth,Panel administrativo tecnico del workspace,"No es branding. Tabs: General, Miembros, Facturacion, Actividad, Notificaciones, Seguridad. Solo timezone/locale editables aca; nombre/logo/slogan/autonomy viven en Identidad."
App / Organizacion,Crear (contenido),/create,CreateView.js,Auth,Generacion de contenido,"Vista de generacion con modos guiado, experto y plantillas."
Marca / Identidad,Identidad de marca,"/brands, /brands/:brandId, /brand-organization, /org/.../brand(/:brandId), /org/.../brand-organization",BrandOrganizationView.js (+ mixins),Auth,Identidad de marca a nivel workspace,"Identidad de la organizacion (colores, tipografia, logo, docs). Sin galeria brand storage. El InfoPanel de sub-marca se comparte; abre conexiones de plataformas."
Marca / Identidad,Brand Storage (redirect),"/brand-storage, /brandstorage, /org/.../brand-storage",app.js (redirectBrandStorageToBrand) / BrandstorageView.js,Auth,Biblioteca de sub-marcas (DESACTIVADA),"Vista de sub-marcas (brand_containers) + paneles INFO. DESACTIVADA durante la demo: redirige a Identidad. Para reactivar, descomentar loader en app.js."
Marca / Identidad,Command Center,"/command-center/:subBrandSlug, /command-center/:subBrandShortId/:subBrandSlug, /org/.../command-center/...",CommandCenterView.js (+ Canvas mixin),Auth,Centro de control de enfoque de mercado,"v5. Personas conceptuales + campanas con persona_id, ultima lectura por canal, conexiones existentes (integraciones + segmentos). Canvas mixin. CSS command-center.css (108KB) fuera del bundle global."
Marca / Identidad,Callback integraciones,/brand-integration-callback,BrandIntegrationCallbackView.js,Publica,Callback OAuth de integraciones,"Maneja el retorno OAuth de Facebook/Google. FB: exchange code->token, auto-selecciona pagina si hay 1, muestra selector si hay varias, error si 0."
Entidades de marca,Productos (listado),"/products, /org/.../products",ProductsListView.js,Auth,Listado masonry de productos,"Listado de productos de la organizacion en masonry. + Producto + Adjuntar producto, hover-actions eliminar/duplicar."
Entidades de marca,Detalle de producto,"/product-detail/:entityId/:productId, /org/.../product-detail/...",ProductsView.js,Auth,Gestion de producto (detalle e-commerce),"Vista de gestion de productos tipo ficha/detalle e-commerce."
Entidades de marca,Servicios,"/services, /org/.../services",ServicesView.js,Auth,Listado de servicios (grid de cards),"Grid de servicios de la org. + Servicio + Adjuntar servicio con wizard modal (URL/Archivos) que genera fichas via OpenAI. Hover actions eliminar/duplicar."
Entidades de marca,Lugares / Sets / Escenarios,"/places, /org/.../places",PlacesView.js,Auth,Listado masonry de lugares fisicos,"Lugares/sets de la org. Se vinculan via entity_id (brand_places sin organization_id). Campos: ambiente_y_vibra, amenidades, address/city/country. Refresca lista (sin PlaceDetailView aun)."
Entidades de marca,Personajes / Characters,"/characters, /org/.../characters",CharactersView.js,Auth,Listado masonry de personajes/actores,"Actores que protagonizan la produccion junto al producto. Tabla brand_characters / character_images / bucket character-images. Ficha IA (OpenAI Vision) pendiente de su Netlify function."
Entidades de marca,Identidades (redirect legacy),"/identities, /identities/:entityId, /org/.../identities(/:entityId)",app.js (redirectIdentitiesToProducts),Auth,Redirect de bookmarks viejos,"Ruta legacy que redirige a /products para compatibilidad con marcadores antiguos."
Studio / Flows,Studio,"/studio, /studio/:flowSlug, /org/.../studio(/:flowSlug)",StudioView.js,Auth,Consumidor de flujos (content_flows),"Ejecuta flujos: panel central, footer con creditos y coste, sidebar con input_schema y envio a webhook_url. Usa FlowWebhookService (timeout+reintentos); deduccion de creditos atomica via RPC."
Studio / Flows,Catalogo de flujos,"/studio/flows, /studio/flows/saved, /studio/flows/:categoryId, /studio/flows/sub/:subcategoryId, /studio/catalog..., /org/.../studio/...",FlowCatalogView.js,Auth,Feed inteligente de produccion creativa,"Dos experiencias: HOME (feed principal) y vista por categoria (contextual feed). 'saved' = My Flows. Rutas de flows y catalog (alias)."
Studio / Flows,Video,"/video, /org/.../video",VideoView.js,Auth,Generacion de video (KIE / Kling 3.0),"Crea tarea (kling-video-create) -> polling desde cliente (kling-video-status) -> descarga (kie-video-download), sube a Supabase, muestra URL. Arquitectura asincrona para evitar timeout 524."
Vera,Vera (chat),"/vera, /org/.../vera",VeraView.js,Auth,Chat conversacional con la CMO IA,"Chat con Vera (cerebro OpenClaw por org). Layout: mensajes + composer, sin sidebar. Frontend -> Backend API -> OpenClaw. Incluye renderer de charts SVG y protocolo de componentes interactivos."
Billing,Tienda de creditos,"/credits, /org/.../credits",CreditsShopView.js,Auth,Compra y monitoreo de creditos,"Balance card (burn rate + runout), plan actual, chart consumo 30d por feature (CSS bars), alertas + auto-recharge, consumo por miembro + CSV, historial paginado, packs de top-up. Stripe no conectado (CTAs 'Proximamente')."
